headline_title,date,content
"This Monolithic Power Systems Analyst Begins Coverage On A Bullish Note; Here Are Top 5 Initiations For Wednesday - Monolithic Power Systems  ( NASDAQ:MPWR ) , Realty Income  ( NYSE:O ) ",20241211T132113,"Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades and downgrades, please see our analyst ratings page. BMO Capital analyst James Thalacker initiated coverage on PPL Corporation PPL with an Outperform rating and ..."
Taiwan Semi Founder Calls For New Strategy After Intel Chief's Departure - Intel  ( NASDAQ:INTC ) ,20241211T132012,Taiwan Semiconductor Manufacturing Co TSM founder Morris Chang told Reuters Monday that Intel Corp INTC should have focused on developing its artificial intelligence moat instead of contract chipmaking. Chang's comments followed Intel chief Pat Gelsinger's departure after he failed to impress the ...
Beamr Featured in Nasdaq Amplify Issuer Spotlight: Strengthening Leadership in the Rapidly Evolving Video Market,20241211T132000,"Herzliya Israel, Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- Beamr Imaging Ltd. ( NASDAQ: BMR ) , a leader in video optimization technology and solutions, today announced that Sharon Carmel, Chief Executive Officer, was recently featured in the Nasdaq Amplify Issuer Spotlight interview series at the ..."
Genmab to Hold 2024 R&D Update and ASH Data Review Meeting,20241211T132000,Media Release ...
"Top 3 Tech And Telecom Stocks That Could Blast Off In December - Interpublic Gr of Cos  ( NYSE:IPG ) , Commercial Metals  ( NYSE:CMC ) ",20241211T131825,"The most oversold stocks in the communication services sector presents an opportunity to buy into undervalued companies. The RSI is a momentum indicator, which compares a stock's strength on days when prices go up to its strength on days when prices go down."
Billionaire Ray Dalio Prefers Bitcoin as 'Hard Money' Over Bonds,20241211T131822,"The billionaire hedge fund manager says a debt crisis is looming in major economies-and ""hard money,"" like Bitcoin and gold, is a safer bet."
"Should You Buy Bitcoin While It's Under $100,000? The Answer Might Surprise You.",20241211T131800,"The price of Bitcoin ( CRYPTO: BTC ) is surging yet again. While it hovers just below the $100,000 mark, many investors are asking themselves the same question: Is there still time to buy? If you're willing to remain patient, the answer is shockingly clear.Bitcoin was launched in the early days ..."
Before you continue,20241211T131548,"Left-wing extremism deaths down 86% since 2010, govt tells Rajya Sabha Business Standard ..."
"Google Removes Negative Reviews Targeting Altoona McDonald's After Arrest Of Suspected UnitedHealthcare CEO Shooter Tip - Alphabet  ( NASDAQ:GOOG ) , Alphabet  ( NASDAQ:GOOGL ) ",20241211T131506,"Google by Alphabet Inc. GOOGL GOOG has taken action to remove a series of negative reviews targeting a McDonald's MCD location in Altoona, Pennsylvania. This move comes in the wake of the arrest of Luigi Mangione, who is accused of murdering UnitedHealthcare CEO Brian Thompson."
Atossa Therapeutics Announces Full Results from Phase 2 KARISMA-Endoxifen Study Demonstrating Statistically Significant Reductions in Mammographic Breast Density - Atossa Therapeutics  ( NASDAQ:ATOS ) ,20241211T131500,"1 MG Dose ( Z ) -Endoxifen Shows Potential as a Well-Tolerated, Preventative Therapy for Premenopausal Women at Risk of Developing Breast Cancer Data to be Presented in a Poster Spotlight Session During the 2024 San Antonio Breast Cancer Symposium"
TikTok Approves Asset Entities as an Official TikTok Shop Partner,20241211T131500,"DALLAS, Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- Asset Entities Inc. ( ""Asset Entities"" or the ""Company"" ) ( NASDAQ: ASST ) , a provider of digital marketing and content delivery services across Discord and other social media platforms, and a Ternary Payment Platform company, today announced it has ..."
Atossa Therapeutics Announces Full Results from Phase 2 KARISMA-Endoxifen Study Demonstrating Statistically Significant Reductions in Mammographic Breast Density,20241211T131500,"1 MG Dose ( Z ) -Endoxifen Shows Potential as a Well-Tolerated, Preventative Therapy for Premenopausal Women at Risk of Developing Breast Cancer ..."
Should You Buy Stocks Before the End of the Year? Here's What History Says,20241211T131500,"With only two weeks left to 2024, investors are considering their next steps. Should you pile into stocks right now? Wait for the new year? Does it even matter? It might. Or it might not.There has been a phenomenon going back more than 100 years that stocks -- or at least small-cap stocks -- tend ..."
Lyte Fiber Chooses GOCare and Dialpad to Transform Customer Experience,20241211T135500,"Digital experience management integrated with billing, network, and contact center platforms enables the most effective and efficient solution for customer support and communication"
New Developer Portal and AI-Driven Tools in Genesis Application Platform Improve Developer Productivity in Financial Markets,20241211T135420,"LONDON and NEW YORK, Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- Genesis Global introduced a new developer portal and new AI-driven tools to help financial sector developers deliver financial markets-grade applications ten times faster."
"In-vitro Colorectal Cancer Screening Tests Market to Reach Over US$ 2.5 Bn by 2034, Driven by a 7.1% CAGR | Transparency Market Research, Inc.",20241211T135057,"Wilmington, Delaware, Transparency Market Research Inc. - , Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- The global in-vitro colorectal cancer screening tests market ( marché des tests de dépistage du cancer colorectal in vitro ) was valued at US$ 1.2 billion in 2023 and is projected to expand at a CAGR ..."
Macy's Gears Up For Q3 Print; Here Are The Recent Forecast Changes From Wall Street's Most Accurate Analysts - Macy's  ( NYSE:M ) ,20241211T135029,"Macy's, Inc. M will release its third-quarter financial results, before the opening bell, on Wednesday, Dec. 11. Analysts expect the New York-based retailer to report quarterly earnings at 3 cents per share, down from 21 cents per share in the year-ago period."
"Winterberry Group Research Examines Direct Mail Ad Spend, Demand Drivers Given Heightened Brand Interest in 'Omnichannel' Marketing Integration",20241211T134900,"NEW YORK, Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- A new white paper released today by Winterberry Group, a strategic growth consultancy, shows that U.S. brands will grow their spending on direct mail advertising by an estimated 2.6 percent in 2024, reaching $37.3 billion - reversing last year's ..."
Surge Arrester Market to Grow at 4.7% CAGR by 2031 | SkyQuest Technology,20241211T134717,"Westford, USA, Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- SkyQuest projects that surge arrester market size will attain the value of USD 2.87 Billion by 2031, with a CAGR of 4.7% during the forecast period ( 2024-2031 ) ."
"Inflation Rises As Expected In November, Sustains Hopes For December Interest Rate Cut - Invesco DB USD Index Bullish Fund ETF  ( ARCA:UUP ) ",20241211T134710,"Inflationary pressures intensified as expected in November, but the trend is beginning to show signs of stickiness, posing fresh challenges to the Federal Reserve's 2% target after months of disinflation."
"Macy's, Dave & Buster's, Bausch + Lomb And Other Big Stocks Moving Lower In Wednesday's Pre-Market Session - Bausch & Lomb  ( NYSE:BLCO ) , Hershey  ( NYSE:HSY ) ",20241211T134635,"U.S. stock futures were mixed this morning, with the Nasdaq futures gaining around 50 points on Wednesday. Shares of Macy's, Inc. M fell sharply in today's pre-market trading after the company reported third-quarter financial results and lowered FY24 EPS outlook."
'Trump Has A Dollar Problem:' President-Elect Favors 'Weaker' Currency But Potential Tariffs Might End Up 'Strengthening The Greenback' Instead,20241211T134544,"President-elect Donald Trump is encountering a significant challenge with the U.S. dollar. Despite his inclination towards a ""weaker"" currency to enhance U.S. exports and reduce the trade deficit, his proposed policies might inadvertently lead to a stronger dollar."
AITX's RAD-I and RAD-R Announce Major Tech Launches in Q4 FY 2025,20241211T134000,Company Shares a Peek Under Its RAD Christmas Tree ...
"The Rizzler Teams up with Toy and Entertainment Brand MGA Entertainment for ""MGA Presents: Diss-mas,"" an Anthem About What Kids Really Want for the Holidays",20241211T133843,"LOS ANGELES, Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- MGA Entertainment ( MGA ) , one of the largest privately held toy and entertainment companies in the world, is shaking up traditional holiday shopping with ""MGA Presents: Diss-mas, "" a bold holiday diss track, featuring TikTok-viral sensation The ..."
"This D.R. Horton Analyst Is No Longer Bullish; Here Are Top 5 Downgrades For Wednesday - D.R. Horton  ( NYSE:DHI ) , C3.ai  ( NYSE:AI ) ",20241211T133524,"Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades and downgrades, please see our analyst ratings page. Truist Securities analyst Jake Bartlett downgraded Dave & Buster's Entertainment, Inc."
Four Leaf Acquisition Corporation Announces Receipt of Notice from Nasdaq Regarding Late Filing of Quarterly Report on Form 10-Q,20241211T133500,"LOS ALTOS, Calif., Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- Four Leaf Acquisition Corporation ( NASDAQ: FORL ) , today announced that on November 21, 2024, it received a notice from The Nasdaq Stock Market LLC ( ""Nasdaq"" ) stating that because the Company has not yet filed its quarterly report on ..."
Aprea Therapeutics Announces Twice Daily  ( BID )  Dosing of Patients in ABOYA-119 Clinical Trial of ATRN-119 to Potentially Optimize Clinical Outcomes and Strengthen Clinical Path Forward,20241211T133000,"Twice daily ( BID ) dosing regimen expected to maximize clinical benefit for patients by optimizing the activity of Aprea's experimental drug, ATRN-119, over a 24-hour daily cycle ..."
"Match Group Hosts First Investor Day, Announces Initiation of Dividend, New Share Buyback Authorization - Match Group  ( NASDAQ:MTCH ) ",20241211T133000,"Company to Present Insight into Strategic Priorities, Vision for the Future, and Medium-Term Financial Outlook Announces the Initiation of Quarterly Dividend of $0.19 Per Share and $1.5 Billion Share Buyback Authorization"
Think It's Too Late to Buy Archer Aviation? Here's the Biggest Reason Why There's Still Time.,20241211T133000,"For those who found Archer Aviation ( NYSE: ACHR ) flying onto their radars recently, the stock's rise has undoubtedly been noteworthy. Over the past six months, shares of the innovative air taxi stock have soared nearly 150% higher, while the S&P 500 has climbed about 14%."
"AmpliTech Group Powers The Quantum Computing Revolution With Cutting-Edge Low-Noise Cryogenic HEMT Amplifiers - AmpliTech Gr  ( NASDAQ:AMPGW ) , AmpliTech Gr  ( NASDAQ:AMPG ) ",20241211T133000,"HAUPPAUGE, N.Y., Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- AmpliTech Group, Inc."
Alpha Tau to Present at the 43rd Annual J.P. Morgan Healthcare Conference,20241211T133000,The overview presentation will review some of the Company's recent achievements as well as the outlook for upcoming data milestones The overview presentation will review some of the Company's recent achievements as well as the outlook for upcoming data milestones ...
"Schellman & Company, LLC Announces Carve Out Acquisition of Connor Consulting's Third-Party Risk Management  ( TPRM )  Practice",20241211T133000,"TAMPA, Fla., Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- Schellman & Company, LLC, a leading provider of attestation and compliance services and top 50 CPA firm, is pleased to announce the carve out acquisition of the Third-Party Risk Management ( TPRM ) practice from Connor Consulting."
"Anaptys Announces Phase 2b Trial of ANB032, a BTLA Agonist, Did Not Meet Primary or Secondary Endpoints in Atopic Dermatitis",20241211T133000,"SAN DIEGO, Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- AnaptysBio, Inc. ( Nasdaq: ANAB ) , a clinical-stage biotechnology company focused on delivering innovative immunology therapeutics, today announced that investigational ANB032, a BTLA agonist, did not meet the primary and secondary endpoints in any ..."
BOSS Money Says 'Thank You' with Zero-Fee Money Transfers for the Holidays,20241211T133000,"After a Record November, BOSS Money Welcomes New Customers with Five Zero-Fee Transfers to Mexico and Two Zero-Fee Transfers to All Other Destinations ..."
Tactical Resources Announces Amendment to Business Combination Agreement,20241211T133000,"Tactical Resources Corp., a mineral exploration and development company has entered into an amending agreement with Plum Acquisition Corp. III."
"Alpha Tau to Present at the 43rd Annual J.P. Morgan Healthcare Conference - Alpha Tau Medical  ( NASDAQ:DRTS ) , Alpha Tau Medical  ( NASDAQ:DRTSW ) ",20241211T133000,"JERUSALEM, Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- Alpha Tau Medical Ltd. ( ""Alpha Tau"", or the ""Company"" ) DRTS DRTSW ) ) , the developer of the innovative alpha-radiation cancer therapy Alpha DaRT®, today announced that CEO Uzi Sofer and CFO Raphi Levy will present a corporate overview and update ..."
Gain Therapeutics To Present At Biotech Showcase 2025,20241211T133000,Presentation to Feature Lead Drug Candidate GT-02287 and Magellan Drug Discovery Platform Presentation to Feature Lead Drug Candidate GT-02287 and Magellan Drug Discovery Platform ...
Global Networking and Security-As-A-Service Provider Standardizes on Silicom's Next-Gen Edge Devices - Silicom  ( NASDAQ:SILC ) ,20241211T133000,"- Current Design Win expected to reach $3-$4M/yr at full run rate, leading to additional significant Design Wins in the future - KFAR SAVA, Israel, Dec. 11, 2024 /PRNewswire/ -- Silicom Ltd."
La Rosa Holdings Launches its First Office in North Carolina,20241211T133000,"Celebration, FL, Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- La Rosa Holdings Corp. ( NASDAQ: LRHC ) ( ""La Rosa"" or the ""Company"" ) , a holding company for six agent-centric, technology-integrated, cloud-based, multi-service real estate segments, today announced the opening of its first office in North ..."
Enlivex Receives Regulatory Authorization for the Initiation of a Phase I Trial Evaluating Allocetra in Patients with TMJ Osteoarthritis,20241211T133000,"Ness-Ziona, Israel, Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- Enlivex Therapeutics Ltd. ( Nasdaq: ENLV, the ""Company"" ) , a clinical-stage macrophage reprogramming immunotherapy company, today announced that the Israeli Ministry of Health authorized the initiation of an investigator-initiated Phase I ..."
Gain Therapeutics To Present At Biotech Showcase 2025 - Gain Therapeutics  ( NASDAQ:GANX ) ,20241211T133000,"BETHESDA, Md., Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- Gain Therapeutics, Inc."
Foremost Clean Energy Issues Shareholder Letter Highlighting Recent Denison Transaction and Operational Updates,20241211T133000,"VANCOUVER, British Columbia, Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- Foremost Clean Energy Ltd. ( NASDAQ: FMST ) ( CSE: FAT ) ( ""Foremost"" or the ""Company"" ) , an emerging North American uranium and lithium exploration company, today issued a letter to shareholders from its President and Chief ..."
Tactical Resources Announces Amendment to Business Combination Agreement - Tactical Resources  ( OTC:USREF ) ,20241211T133000,"VANCOUVER, British Columbia, Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- Tactical Resources Corp. ( ( TSX.V: RARE, OTC:USREF ) ( ""Tactical Resources"" or the ""Company"" ) , a mineral exploration and development company, announced today that it has entered into an amending agreement ( the ""Amendment"" ) ..."
Automotive Pedestrian Protection System Market Size to Grow with CAGR of 9.1% by 2031 | SkyQuest Technology,20241211T133000,"Westford USA, Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- SkyQuest projects that the Automotive Pedestrian Protection System Market Size will reach a value of USD 17.26 Billion by 2031, with a CAGR of 9.1% during the forecast period ( 2024-2031 ) ."
Ethical Web AI Partners with BolgiaTen Limited to Transform Enterprise AI Training and Drive Revenue Growth,20241211T133000,"NEW YORK, Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- Ethical Web AI ( d/b/a Bubblr Inc. ) ( OTC: BBLR ) , a leader in ethical technology innovation, proudly announces a landmark partnership with BolgiaTen Limited."
Day 2 Of Crossroads Summit 2024: Embracing Adaptability And Innovation To Shape The Future,20241211T132749,"Fading out to thunderous applause from attendees, Crossroads Summit 2024 delivered a much-needed framework for traders and investors to navigate the broader implications of the new economy."
Golden Grail Beverages Announces the Acquisition of UPDC Beverages - Golden Grail Technology  ( OTC:GOGY ) ,20241211T132347,"FORT LAUDERDALE, Fla., Dec. 11, 2024 ( GLOBE NEWSWIRE ) -- Golden Grail Beverages Corp."
Golden Grail Beverages Announces the Acquisition of UPDC Beverages,20241211T132300,Golden Grail Beverages Corp. (OTC: GOGY) has entered an acquisition agreement to purchase United Product Development Corporation.
Penny Stock Spruce Biosciences Winds Down Tildacerfont Studies For Rare Genetic Disorder - Spruce Biosciences  ( NASDAQ:SPRB ) ,20241211T132153,"On Tuesday, Spruce Biosciences, Inc. SPRB revealed topline results from its CAHmelia-204 study of tildacerfont in adult CAH and its CAHptain-205 study of tildacerfont in adult and pediatric CAH."
"Recharging The EV Experience: Getaway Space Is On A Mission To Solve Burgeoning Infrastructural Challenges - ChargePoint Hldgs  ( NYSE:CHPT ) , EVgo  ( NASDAQ:EVGO ) ",20241211T132129,"Although the mass proliferation of electric vehicles ( EV ) may count among the most profound technological advancements for the environment in recent memory, a critical lack of infrastructure is holding up the underlying innovation."
